	Media Sources	Tweet Polarity	Tweets Ago
216	CNN	0.0	17
217	CNN	0.0	18
218	CNN	0.5719	19
219	CNN	0.0	20
220	CNN	0.4588	21
221	CNN	-0.765	22
222	CNN	0.4019	23
223	CNN	0.4019	24
224	CNN	0.0	25
225	CNN	0.0	26
226	CNN	0.0	27
227	CNN	0.0	28
228	CNN	-0.5423	29
229	CNN	-0.7351	30
230	CNN	0.4939	31
231	CNN	0.0	32
232	CNN	-0.5423	33
233	CNN	-0.8074	34
234	CNN	-0.25	35
235	CNN	0.0	36
236	CNN	0.0	37
237	CNN	0.2263	38
238	CNN	-0.4404	39
239	CNN	0.0	40
240	CNN	0.0	41
241	CNN	0.0	42
242	CNN	0.0	43
243	CNN	-0.2263	44
244	CNN	0.0	45
245	CNN	0.0	46
246	CNN	0.0	47
247	CNN	0.0	48
248	CNN	-0.7351	49
249	CNN	0.6124	50
250	CNN	-0.5574	51
251	CNN	-0.4939	52
252	CNN	0.0	53
253	CNN	0.34	54
254	CNN	0.0	55
255	CNN	-0.1027	56
256	CNN	-0.631	57
257	CNN	0.0	58
258	CNN	-0.4404	59
259	CNN	-0.8074	60
260	CNN	0.0	61
261	CNN	-0.5423	62
262	CNN	0.0	63
263	CNN	0.1027	64
264	CNN	-0.7964	65
265	CNN	-0.8271	66
266	CNN	-0.8074	67
267	CNN	-0.6597	68
268	CNN	0.4404	69
269	CNN	0.0	70
270	CNN	0.6369	71
271	CNN	-0.1531	72
272	CNN	-0.0258	73
273	CNN	0.128	74
274	CNN	-0.3612	75
275	CNN	0.0	76
276	CNN	-0.4767	77
277	CNN	0.0	78
278	CNN	0.0772	79
279	CNN	0.0	80
280	CNN	-0.6597	81
281	CNN	0.0	82
282	CNN	0.4019	83
283	CNN	0.3182	84
284	CNN	0.0	85
285	CNN	-0.631	86
286	CNN	-0.8074	87
287	CNN	0.2263	88
288	CNN	0.0	89
289	CNN	0.6249	90
290	CNN	0.1027	91
291	CNN	-0.128	92
292	CNN	0.0	93
293	CNN	0.0	94
294	CNN	-0.296	95
295	CNN	-0.3818	96
296	CNN	-0.0258	97
297	CNN	-0.6597	98
298	CNN	0.128	99
299	CNN	-0.8885	100
300	FoxNews	-0.7264	1
301	FoxNews	0.5106	2
302	FoxNews	-0.0772	3
303	FoxNews	0.4404	4
304	FoxNews	0.6369	5
305	FoxNews	0.8442	6
306	FoxNews	0.0	7
307	FoxNews	-0.5106	8
308	FoxNews	0.0	9
309	FoxNews	0.0	10
310	FoxNews	0.0	11
311	FoxNews	-0.4019	12
312	FoxNews	0.0	13
313	FoxNews	-0.6908	14
314	FoxNews	-0.2732	15
315	FoxNews	-0.6249	16
316	FoxNews	0.0	17
317	FoxNews	0.0	18
318	FoxNews	-0.6705	19
319	FoxNews	0.0772	20
320	FoxNews	-0.6444	21
321	FoxNews	0.0	22
322	FoxNews	-0.2023	23
323	FoxNews	0.5719	24
324	FoxNews	-0.2732	25
325	FoxNews	-0.5106	26
326	FoxNews	0.0	27
327	FoxNews	-0.3182	28
328	FoxNews	-0.34	29
329	FoxNews	-0.2244	30
330	FoxNews	0.0	31
331	FoxNews	-0.5106	32
332	FoxNews	-0.765	33
333	FoxNews	0.0	34
334	FoxNews	-0.4767	35
335	FoxNews	0.2732	36
336	FoxNews	0.34	37
337	FoxNews	0.0	38
338	FoxNews	0.2732	39
339	FoxNews	-0.5106	40
340	FoxNews	0.0	41
341	FoxNews	0.0	42
342	FoxNews	0.0	43
343	FoxNews	0.0	44
344	FoxNews	0.0772	45
345	FoxNews	-0.1531	46
346	FoxNews	-0.4404	47
347	FoxNews	-0.296	48
348	FoxNews	-0.5106	49
349	FoxNews	0.3818	50
350	FoxNews	0.0	51
351	FoxNews	0.7351	52
352	FoxNews	-0.296	53
353	FoxNews	-0.2411	54
354	FoxNews	0.0	55
355	FoxNews	0.0	56
356	FoxNews	0.0	57
357	FoxNews	0.34	58
358	FoxNews	-0.296	59
359	FoxNews	-0.296	60
360	FoxNews	0.2263	61
361	FoxNews	0.0	62
362	FoxNews	0.0	63
363	FoxNews	0.0772	64
364	FoxNews	0.0	65
365	FoxNews	0.4391	66
366	FoxNews	0.0	67
367	FoxNews	0.0	68
368	FoxNews	-0.5535	69
369	FoxNews	0.0	70
370	FoxNews	-0.1531	71
371	FoxNews	-0.1531	72
372	FoxNews	-0.1531	73
373	FoxNews	-0.3182	74
374	FoxNews	0.0	75
375	FoxNews	-0.7579	76
376	FoxNews	0.0	77
377	FoxNews	0.0	78
378	FoxNews	0.0	79
379	FoxNews	0.0	80
380	FoxNews	-0.5106	81
381	FoxNews	0.25	82
382	FoxNews	0.0	83
383	FoxNews	-0.296	84
384	FoxNews	0.25	85
385	FoxNews	0.6369	86
386	FoxNews	0.25	87
387	FoxNews	0.1007	88
388	FoxNews	-0.2263	89
389	FoxNews	-0.5296	90
390	FoxNews	-0.6705	91
391	FoxNews	0.3818	92
392	FoxNews	0.0	93
393	FoxNews	0.0	94
394	FoxNews	0.0	95
395	FoxNews	-0.4404	96
396	FoxNews	0.0	97
397	FoxNews	-0.4767	98
398	FoxNews	0.0	99
399	FoxNews	0.0	100
400	NYTimes	0.0	1
401	NYTimes	0.0	2
402	NYTimes	0.2732	3
403	NYTimes	0.5994	4
404	NYTimes	0.1531	5
405	NYTimes	0.0	6
406	NYTimes	-0.765	7
407	NYTimes	-0.7184	8
408	NYTimes	-0.25	9
409	NYTimes	-0.2755	10
410	NYTimes	0.4019	11
411	NYTimes	0.0	12
412	NYTimes	0.0	13
413	NYTimes	0.0	14
414	NYTimes	0.2975	15
415	NYTimes	0.0	16
416	NYTimes	-0.8519	17
417	NYTimes	-0.4588	18
418	NYTimes	0.0	19
419	NYTimes	-0.34	20
420	NYTimes	-0.5859	21
421	NYTimes	-0.4939	22
422	NYTimes	0.4404	23
423	NYTimes	-0.5994	24
424	NYTimes	0.0	25
425	NYTimes	0.4404	26
426	NYTimes	-0.5719	27
427	NYTimes	0.0	28
428	NYTimes	0.0	29
429	NYTimes	0.0	30
430	NYTimes	0.2732	31
431	NYTimes	0.4588	32
432	NYTimes	0.0	33
433	NYTimes	-0.3182	34
434	NYTimes	0.0	35
435	NYTimes	-0.34	36
436	NYTimes	0.5267	37
437	NYTimes	0.6249	38
438	NYTimes	0.0	39
439	NYTimes	0.0	40
440	NYTimes	0.4215	41
441	NYTimes	0.0	42
442	NYTimes	-0.4767	43
443	NYTimes	0.2023	44
